file	bytes	sha256
justzoom_neoforge_2.1.0_MC_1.21.1.jar	43798	83f1701f7802d4355e57f73c2751b29e4b760a4e2a18427504bbd9ce7090a0c1
konkrete_neoforge_1.9.9_MC_1.21.jar	618842	791c5538751dd3015ef3a2ce92d98719e1a28a48ebbd817b78506771256654cd
kotlinforforge-5.12.0-all.jar	7279264	2785a4dd6de5c6c56065fd8eb789c82771bd2ee773c30794c23160a3b2c39139
KotlinLangForge-2.12.2-k2.4.10-3.0+neoforge.jar	7982542	fba0188f1998a894f49f43fd718910dea97aa11c3a4b9553f5d0ba0767354d93
labels-neoforge-1.21-2.1.1.jar	108511	c0c94b4d2d56bbfd750781276337d86cfbc90308532909efa6634d3ec446960f
lambdynamiclights-4.8.10+1.21.1.jar	2022585	94e955443ce3817f798c74cbbbb4973e7b55c8b6dec12808b9378e74376b2eb9
LeavesBeGone-v21.1.1-1.21.1-NeoForge.jar	55937	ea85ad07672f7c2199c28fe58a80c354ef2f2c60bfb0315e3730c344068526e0
LegendaryTooltips-1.21.1-neoforge-1.5.5.jar	81808	8ba2bc2cb894e48d8e7520d41c72ef7f429659c3ee58b029f4899c760b958493
letsdo-beachparty-neoforge-2.1.4.jar	7759926	3a283e16bb6b7465a3863cfc4262797293de8d32d8bac85b5553e2d7f62781b4
letsdo-brewery-neoforge-2.1.9.jar	1656054	7abbc2bb43fa319d4893e84b145b2cc803e6e61f5e6f0c37ec4611567a07ed66
letsdo-farm_and_charm-neoforge-1.1.23.jar	2586013	85feb42399e37aff2edb78610dce75bf656032783b145b66fef78f677bf5c213
letsdo-meadow-neoforge-1.4.8.jar	2165946	f5d4a870b46f2952b7a04dad663cc4bdf8faad75e8951ba1551e85fd72d14402
letsdo-vinery-neoforge-1.5.3.jar	2001616	d0348d1bbf15cd7f8ec5821457887240150d073fb5f612bc70f9517515225d10
lifesteal-datapack-1.0.4.jar	89561	7bb47aa646b1c65053406b90848b280688c915cd5bc2928ecc58ccc5c6d75e8d
lithium-neoforge-0.15.4+mc1.21.1.jar	774220	488f33216030c1cb0baa33e59de3d657d08d5795a6c2080c8c8bbbc133fc8757
lithostitched-1.8.0+beta4-neoforge-21.1.jar	954028	f9bed6228565d69166ac85edbe6159e28674a687562964e5424a8c8a477d20c0
lootr-neoforge-1.21.1-1.11.38.123.jar	994419	2ef8ee998a5c224c2037cbfe488c2d66aa9522f1f0c32083c692741682ab58d9
malisisdoorsreborn-neoforge-1.21.1-1.0.5.jar	2579064	0d9a8b05a779a426cbac2a39bff6ab9b44d1aa4216f42ef943fd34ebb0f52ebb
mcw-bridges-3.1.2-mc1.21.1neoforge.jar	661387	070b817d3282760d9789b22ce13779613c8b558e02012fd5884d343175d88fd9
mcw-doors-1.1.5-mc1.21.1neoforge.jar	1190404	87261e309f5e10c9910169d5acbba613cab3a2d2270698b0bd47e657a45b0518
mcw-mcwfences-1.2.1-mc1.21.1neoforge.jar	673871	e4b0e5a5b67decc2285e71f017fb4f60284796fa0838de3edeaf6b7cb0395735
mcw-mcwpaths-1.1.1-mc1.21.1neoforge.jar	777742	f04b51518f75c8a7d5fe1be5589dbcb8a7b0d4f67373ca903578804d971b1286
mcw-mcwwindows-2.4.2-mc1.21.1neoforge.jar	1261268	8970c40ec622edd34c9b055226b403af08ab441c77303a6dc625ae18005f8184
mcw-paintings-1.1.0-mc1.21.1neoforge.jar	179058	fddf73508f3c98cadd9b3c1fe08d792141eb3db7f89134cf313ed175c3ba031c
mcw-trapdoors-1.1.5-mc1.21.1neoforge.jar	572870	1408d46bc2e7515b25b4da8393f8dbb3d79bcd9fb6d51fcf26fe84734c2597af
mechanicals-1.21.1-1.1.6.jar	2022181	0ce9bb97a68a2fc7340695eacd5b9898f2dc481dc6384df62bfb10c92c9de549
midnightlib-neoforge-1.9.3+1.21.1.jar	61217	76775d3a3f3a6a0304330cdd6a810944babc9bd7ebbdefa24ec3346a7c62a703
modernfix-neoforge-5.27.20+mc1.21.1.jar	599474	6f367ea4002c39e3cfe27e0a0be1008880a4b35a8482a78a437cfb9d8ee38273
ModernUI-NeoForge-1.21.1-3.13.0.1-universal.jar	25228113	258623778012daad6fdd8793add3324b970df62a07c477697c43fe85deef1db6
modonomicon-1.21.1-neoforge-1.120.4.jar	2399838	35d055e524c3491126ebe874984e8d77cb18460de4479d03a36d9f00404cc726
moonlight-1.21.1-3.3.5-neoforge.jar	2153540	497397ea3c198048ab6dab29c05bcc8cc06268744d3acf42be5c6f435c16d418
More Crafting Tables-neoforge-1.21-7.0.2.jar	540952	b9127226a6e13dbd5cc5ec9946602baf6b4702db08a7374860417136d0b21553
moreculling-neoforge-1.21.1-1.0.9.jar	335661	0b7000dac4bd8218074ece026f515d8cb24fcfd19c0e9eeb882209ab82f17657
morestatues-1.2.0.jar	271276	0f035770875c4743958030c13999de4e0b909d25efe406dd338ea5c05614c349
MouseTweaks-neoforge-mc1.21-2.26.1.jar	73938	68e6f4201c5de97b77929a7215c9552495696ca6a3bf3ae4eacc34e135f6cc8b
mowziesmobs-1.21.1-1.8.2.jar	36042925	b8e7e39fb6430326de7fbb193db56588ee8bd04d0054527924fe588f37131e4f
nemos-inventory-sorting-NeoForge-1.21.1-1.8.2.1.jar	81559	88dffb8cf37dbfbcffd856cd3400b7d5aaa1551a0bbb0e7445f4cd41f2404778
[Neoforge]ctov-3.6.3.jar	7139609	4815b19b83541f09cba556e222612bc5ddcc31f7c4ba2198f4b4d6376cca8b2e
netherportalfix-neoforge-1.21.1-21.1.1.jar	211972	242267afa324352130adb2263a5667e421c6f4c573ad0dfe0565971255ea5a1e
notenoughanimations-neoforge-1.12.4-mc1.21.1.jar	1939625	a8705202193813de291195ad6bbd03101c4ddc1ab2878aadb018ab92f903999f
Nullscape_1.21.x_v1.2.14.jar	355748	8749c6fdda659335e50116c18e012cdf8699b3789859c82559af2c6f425c93ae
